ID,Browsable,Title,CollectionID,CollectionContentID,Identifier,Scope,PhysicalDescription,Date,Publisher,Contributor,RightsStatement,ContentURL,HyperlinkURL
10,1,"Heating Plant, exterior and aerial",82,0,00/008,Photographs of the Heating Plant at Carleton College from the early and mid 20th century.,NULL,Circa 1910-1960,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20110615_3_HeatingPlant/data/dips/1910_1960,1
9,1,"Heating plant, exterior",79,0,00/007,Photographs of the Heating Plant from the middle of the 20 century.,NULL,Circa 1960,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20110615_3_HeatingPlant/data/dips/circa1960,1
77069,1,Student march and strike.,50,0,20121025_wellstone/data/originals/strike_11122,"Includes images of Robert H. Edwards, Paul D. Wellstone",NULL,1980,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20121025_wellstone/data/dips/strike_11122,1
77067,1,"Paul Wellstone, various prints",50,0,20121025_wellstone/data/originals/prints,NULL,NULL,Circa 1980-2000,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20121025_wellstone/data/dips/prints,1
77068,1,"Paul Wellstone, various slides",92,0,20121025_wellstone/data/originals/slides_1998_2000,NULL,NULL,Circa 1998-2000,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20121025_wellstone/data/dips/slides_1998_2000,1
40,1,West Gym,50,14082,0014082,NULL,NULL,Circa 1965,NULL,NULL,NULL,https://archivedb.carleton.edu/files/0014082,1
49,1,Riding / Horse Show,50,8643,0008643,NULL,NULL,1959/60,NULL,NULL,NULL,https://archivedb.carleton.edu/files/0008643,1
50,1,Olin Hall groundbreaking,50,8661,0008661,NULL,NULL,1959/60,NULL,NULL,NULL,https://archivedb.carleton.edu/files/0008661,1
51,1,Winter Carnival,50,8639,0008639,NULL,NULL,1959/60,NULL,NULL,NULL,https://archivedb.carleton.edu/files/0008639,1
52,1,Homecoming,50,8649,0008649,NULL,NULL,1959/60,NULL,NULL,NULL,https://archivedb.carleton.edu/files/0008649,1
77098,0,"Stewart, D. Blake, Superintendent of Grounds",2809,75998,20130130_OralHistoriesDigitized/data/originals/75998,NULL,NULL,1971,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75998,0
76662,1,Japanese American Students,2798,0,20120613_JapaneseAmericanStudents,Documents about Carleton College's acceptance of Japanese American students to Carleton during World War II.  These students were held in Japanese internment camps and the War Relocation Authority but were allowed to enroll at Carleton College to complete their education.  ,NULL,1942-1944,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120613_JapaneseAmericanStudents/data/dips/POF3_box6.pdf,1
76665,1,Promotional videos for Carleton College,2626,0,20120706_promoVideos1924_1967,NULL,NULL,1924-1967,NULL,NULL,NULL,http://archivedb.carleton.edu/files/20120706_promoVideos1924_1967/data/dips,1
77071,1,IBM computer kit dedication,50,8515,NULL,"People depicted in these images: Vincent DeSimone, Stephen McKenzie, Kenneth O. May, Laurence M. Gould",NULL,1959/60,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20121030_IBM1060ComputerKit/data/dips,1
76911,0,"Schuster, Seymour 'Sy'.  Emeritus Prof. of Mathematics",2809,76155,20120719_OralHistories1991_1996/data/originals/76155,"For additional information, see collection info linked to in this record.",,1995,,,,https://archivedb.carleton.edu/files/20120719_OralHistories1991_1996/data/dips/76155,1
77021,1,Noon News Bulletin / N.N.B.,231,0,20120429_NoonNewsBulletinSamples1996/data/originals/20120427_NoonNewsSamples_0106_001.pdf,NULL,NULL,1996-1997,NULL,NULL,NULL,http://archivedb.carleton.edu/files/20120429_NoonNewsBulletinSamples1996/data/dips/20120427_NoonNewsSamples_0106_001.pdf,1
77019,1,iT Magazine,219,0,20120420_201_0_CurrencyAndiT/data/originals/iTMagazine1992Winter.pdf,NULL,NULL,1992,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120420_201_0_CurrencyAndiT/data/dips/iTMagazine1992Winter.pdf,1
77018,0,"The Physics of the Interstellar Medium.  Author: Petroff, Emily Brook.  Major:  Physics and Astronomy (PHYS)",2883,95330,20120516_PhysicsCompsVideos2006_2012/data/originals/2012/EMILYPETROFF20120406.mp4,"For additional information on this record refer to [url=https://comps.carleton.edu/u?/Comps,3073]https://comps.carleton.edu/u?/Comps,3073[/url]",,2012,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120516_PhysicsCompsVideos2006_2012/data/dips/2012/EMILYPETROFF20120406.m4v,0
77017,0,"Plasmas and the Sun.  Author: Anderson, Dustin James.  Major:  Physics and Astronomy (PHYS)",2883,95330,20120516_PhysicsCompsVideos2006_2012/data/originals/2012/DUSTINANDERSON20120215.mp4,"For additional information on this record refer to [url=https://comps.carleton.edu/u?/Comps,2914]https://comps.carleton.edu/u?/Comps,2914[/url]",,2012,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120516_PhysicsCompsVideos2006_2012/data/dips/2012/DUSTINANDERSON20120215.m4v,0
77016,0,"The Physics of Baseball.  Author: Gomi, Kiyota Christopher.  Major:  Physics and Astronomy (PHYS)",2883,95330,20120516_PhysicsCompsVideos2006_2012/data/originals/2012/KIYOGOMI20120130.mp4,"For additional information on this record refer to [url=https://comps.carleton.edu/u?/Comps,2902]https://comps.carleton.edu/u?/Comps,2902[/url]",,2012,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120516_PhysicsCompsVideos2006_2012/data/dips/2012/KIYOGOMI20120130.m4v,0
