"ID","Browsable","Title","CollectionID","CollectionContentID","Identifier","Scope","PhysicalDescription","Date","Publisher","Contributor","RightsStatement","ContentURL","HyperlinkURL"
"10","1","Heating Plant, exterior and aerial","82","0","00/008","Photographs of the Heating Plant at Carleton College from the early and mid 20th century.",NULL,"Circa 1910-1960",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20110615_3_HeatingPlant/data/dips/1910_1960","1"
"11","1","Algol woodcut prints, created by Edmund T. Montgomery.","0","0","1929Algol","Woodcut prints created from the 1929 Carleton yearbook, the Algol.  Commissioned by Carleton College and created by Edmund T. Montgomery, a Minnesota based artist during the first half of the 20th century.",NULL,"1929",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/1929Algol","1"
"8","1","Heating plant photographs","50","7443","1_3","Photographs of the Heating Plant at Carleton College from the early and mid 20th century.",NULL,"1910; 1950-1964",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/1_3","1"
"9","1","Heating plant, exterior","79","0","00/007","Photographs of the Heating Plant from the middle of the 20 century.",NULL,"Circa 1960",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20110615_3_HeatingPlant/data/dips/circa1960","1"
"77069","1","Student march and strike.","50","0","20121025_wellstone/data/originals/strike_11122","Includes images of Robert H. Edwards, Paul D. Wellstone",NULL,"1980",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121025_wellstone/data/dips/strike_11122","1"
"77070","1","Parents/Family Weekend, various years","0","0","20121029_ParentsWeekend/data/originals","Parents Weekend, now known as Family Weekend, from the 1950's to the 1980's.",NULL,"1955-1987",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121029_ParentsWeekend/data/dips","1"
"77075","1","Cave, topical file","2834","91658","20121115_CaveTF/data/originals/CaveTF1.pdf","Documents related to the operations, management and financial records of the Cave - the oldest student run pub in the United States.",NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121115_CaveTF/data/dips/CaveTF1.pdf","0"
"77076","1","Cave, topical file","2834","91659","20121115_CaveTF/data/originals/CaveTF2.pdf","Documents related to the operations, management and financial records of the Cave - the oldest student run pub in the United States.",NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121115_CaveTF/data/dips/CaveTF2.pdf","0"
"19","1","Computer lab, 1969/70","50","9570","3.1969/70.129",NULL,NULL,"1969/70",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20110615_2_Computer_Equipment_2/data/dips/9570","1"
"77077","1","Cave, Buildings and Grounds topical file","2834","94912","20121115_CaveTF/data/originals/CaveTFBandG.pdf","Documents related to the Cave's facilities  - the oldest student run pub in the United States.  Primarily news clippings.",NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121115_CaveTF/data/dips/CaveTFBandG.pdf","0"
"77079","1","Cowling Gym","0","0","20110615_5_Yamasaki/data/originals/cowling","Designed by Minoru Yamasaki and Associates",,"Circa 1965",,,,"https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/cowling","1"
"77080","1","Proposed Dining Facility","0","0","20110615_5_Yamasaki/data/originals/diningfac","Designed by Minoru Yamasaki and Associates",,"1960",,,,"https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/diningfac","1"
"77081","1","Goodhue Hall","0","0","20110615_5_Yamasaki/data/originals/goodhue","Designed by Minoru Yamasaki and Associates",NULL,"Circa 1960",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/goodhue","1"
"77082","0","Goodhue Hall proposal and drawings","0","0","20110615_5_Yamasaki/data/originals/mensdorm","Designed by Minoru Yamasaki and Associates",NULL,"Circa 1960",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/mensdorm","1"
"77083","1","Olin Hall blueprints","0","0","20110615_5_Yamasaki/data/originals/olin","Drawingds by Yamasaki, Leinweber and Associates and Kewaunee Manufacturing Co.",,"1959",,,,"https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/olin","1"
"77084","1","West Gym","0","0","20110615_5_Yamasaki/data/originals/westgym","Designed by Minoru Yamasaki",NULL,"Circa 1964",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/westgym","1"
"77085","1","Proposed Womens Dormitory ","0","0","20110615_5_Yamasaki/data/originals/womensdorm","Designed by Minoru Yamasaki and Associates",,"1960",,,,"https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/womensdorm","1"
"77086","1","Dial 'C' for Chaos","2626","59192","20130211_DialCForChaos","Student made movie for the class of 1956.",NULL,"1956",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130211_DialCForChaos/data/dips/CforChaos.mp4","1"
"77067","1","Paul Wellstone, various prints","50","0","20121025_wellstone/data/originals/prints",NULL,NULL,"Circa 1980-2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121025_wellstone/data/dips/prints","1"
"77068","1","Paul Wellstone, various slides","92","0","20121025_wellstone/data/originals/slides_1998_2000",NULL,NULL,"Circa 1998-2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121025_wellstone/data/dips/slides_1998_2000","1"
"77065","1","Environmental Studies Topical File","2834","94442","20121019_2834_94442_EnviroStudiesTF/data/originals",NULL,NULL,"1972-1985",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121019_2834_94442_EnviroStudiesTF/data/dips","1"
"77066","1","Environmental Studies Proposal by Economics Department","2702","93846","20121019_EnvironStudiesEcon/data/originals",NULL,NULL,"1975",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20121019_EnvironStudiesEcon/data/dips","1"
"76535","1","Laird Stadium before construction of the new stadium.","50","13694","79_13694",NULL,NULL,"Circa 1920",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/79_13694","1"
"29","1","A group of men on the Bald Spot","82","100602","0014244",NULL,NULL,"1904",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0014244","1"
"30","1","Four football players on the field","82","14398","0014398",NULL,NULL,"Circa 1907",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0014398","1"
"31","1","Football team","82","14569","0014569",NULL,NULL,"1905",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0014569","1"
"32","1","Football team","82","14402","0014402",NULL,NULL,"1905",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0014402","1"
"33","1","Glee club","82","16519","0016519",NULL,NULL,"1905",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0016519","1"
"76537","1","Rememberances of Deane Barbour.","2809","92312","2809_0_20120127_GroupOHPInterview","Group interview about Deane Barbour.  Narrators include Mary Ellen Frame, Mary Lewis Grow, Patti Haskins, Judy Mason, Leslie Schultz, Charlotte Smith, Nancy Soth, Ann Wright.  Discuss the ABCD Club.",NULL,"2012",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/2809_0_20120127_GroupOHPInterview/data/dips/2809_0_20120127_GroupOHPInterview_file0083.mp3","1"
"36","1","Proposed Dining Facilities, Plan","2748","80566","0080566",NULL,NULL,"1960",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0080566","1"
"37","1","Proposed Dining Facilities, Elevations","2748","80567","0080567",NULL,NULL,"1960",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0080567","1"
"38","1","Proposed Dining Facilities, Elevation and Section","2748","80568","0080568",NULL,NULL,"1960",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0080568","1"
"39","1","Proposed Dining Facilities, Site Plan","2748","80565","0080565",NULL,NULL,"1960",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0080565","1"
"40","1","West Gym","50","14082","0014082",NULL,NULL,"Circa 1965",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0014082","1"
"43","1","Elizabeth Gray Algol staff photo","0","0","0037451",NULL,NULL,"1939",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0037451","1"
"44","1","Elizabeth Gray Algol staff photo","0","0","0037495",NULL,NULL,"1941",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0037495","1"
"76536","1","Laird Stadium after construction of the new stadium.","50","13697","79_13697",NULL,NULL,"Circa 1927",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/79_13697","1"
"76533","1","Laird Stadium Construction","50","7746","50_7746",NULL,NULL,"1926/27",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/50_7746","1"
"76534","1","Aerial photographs of the campus.  Laird Stadium before and after the new stadium construction.","50","14896","79_14896",NULL,NULL,"Circa 1923-1927",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/79_14896","1"
"48","1","Reunion '97, Reunion convo, Jim Graves '62, Stephen Lewis, three leg stool, Carlos Gonzalez","92","49774","0049774",NULL,NULL,"1997",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0049774","1"
"49","1","Riding / Horse Show","50","8643","0008643",NULL,NULL,"1959/60",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0008643","1"
"50","1","Olin Hall groundbreaking","50","8661","0008661",NULL,NULL,"1959/60",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0008661","1"
"51","1","Winter Carnival","50","8639","0008639",NULL,NULL,"1959/60",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0008639","1"
"52","1","Homecoming","50","8649","0008649",NULL,NULL,"1959/60",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0008649","1"
"53","1","Margaret Mead visit, samples","50","9766","0009766",NULL,NULL,"1972",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0009766","1"
"54","1","Japanese Garden - sketch","2748","80914","0080914",NULL,NULL,"1975",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0080914","1"
"55","1","Japanese Garden - sketch","2748","80915","0080915",NULL,NULL,"1975",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0080915","1"
"77190","1","Wegner, Grace, Widow of Emeritus Prof. of Mathematics Kenneth Wegner","2809","76254","20130130_OralHistoriesDigitized/data/originals/76254","Includes Summary",NULL,"1999",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76254","0"
"76539","1","Eisenhower campaign speech in Laird Stadium","50","8296","50_8296_20120227_EisenhowerSpeech",NULL,NULL,"1953",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/50_8296_20120227_EisenhowerSpeech","1"
"76538","1","Metric Football","50","10580","50_10580_20120227_metricfootball","Metric Football game.  Carleton vs. St. Olaf",NULL,"1977",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/50_10580_20120227_metricfootball","1"
"61","0","Europe E-13","2869","85748","0085748",NULL,NULL,"1960",NULL,NULL,NULL,NULL,"1"
"63","1","UNCO [Uninvited Company] Performance","50","16732","20120430_4_50_16732_UnivitedCompany",NULL,NULL,"1971/72",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20120430_4_50_16732_UnivitedCompany","1"
"64","1","Football","50","9763","0009763",NULL,NULL,"1971/72",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/0009763","1"
"77199","1","Eslinger, Elise, Volunteer Coordinator for Commencement 2000","2809","76269","20130130_OralHistoriesDigitized/data/originals/76269",NULL,NULL,"2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76269","0"
"77198","1","Rouman, John C., Class of 1950","2809","76268","20130130_OralHistoriesDigitized/data/originals/76268",NULL,NULL,"2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76268","0"
"77197","1","Powell, William J., Class of 1935","2809","76267","20130130_OralHistoriesDigitized/data/originals/76267",NULL,NULL,"2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76267","0"
"77196","0","Payne, Frank; Myrtice (Matchitt) Holmquist; and Norman Maclean Class of 1935, [...]","2809","76266","20130130_OralHistoriesDigitized/data/originals/76266","Full Title: Payne, Frank; Myrtice (Matchitt) Holmquist; and Norman Maclean Class of 1935, 1925, and 1937",NULL,"2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76266","0"
"77195","0","Class of 1950 Group #2","2809","76265","20130130_OralHistoriesDigitized/data/originals/76265",NULL,NULL,"2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76265","0"
"77194","0","Class of 1950 Group #1","2809","76264","20130130_OralHistoriesDigitized/data/originals/76264",NULL,NULL,"2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76264","0"
"77193","1","Zelliot, Eleanor, Emeritus Prof. of History","2809","76263","20130130_OralHistoriesDigitized/data/originals/76263",NULL,NULL,"2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76263","0"
"77192","1","Nason, John W., Class of 1926 (Class President); former Carleton President","2809","76261","20130130_OralHistoriesDigitized/data/originals/76261",NULL,NULL,"2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76261","0"
"77191","1","Smith, Bardwell L., Emeritus Prof. of Religion and John W. Nason Prof. of Asian Studies; [...]","2809","76257","20130130_OralHistoriesDigitized/data/originals/76257","Full Title: Smith, Bardwell L., Emeritus Prof. of Religion and John W. Nason Prof. of Asian Studies; former Dean of the College",NULL,"1999; 2000",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76257","0"
"77090","0","Thomas, Ruth (Peterson), Class of 1916","2809","75980","20130130_OralHistoriesDigitized/data/originals/75980",NULL,NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75980","0"
"77091","0","Obaid, Dorothy Peterson; Tony Obaid; D. Blake Stewart","2809","75981","20130130_OralHistoriesDigitized/data/originals/75981",NULL,NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75981","0"
"77092","0","Dickerson, Charles","2809","75982","20130130_OralHistoriesDigitized/data/originals/75982",NULL,NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75982","0"
"77093","1","Luedtke, Elizabeth (Bissell), Class of 1893","2809","75985","20130130_OralHistoriesDigitized/data/originals/75985",NULL,NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75985","0"
"77094","0","Thorstein Veblen's step-daughters (Ann Sims and Becky Veblen Meyers)","2809","75989","20130130_OralHistoriesDigitized/data/originals/75989",NULL,NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75989","0"
"77095","0","Oral History Program Group","2809","75991","20130130_OralHistoriesDigitized/data/originals/75991",NULL,NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75991","0"
"77096","0","McAuliffe, John, Class of 1964","2809","75992","20130130_OralHistoriesDigitized/data/originals/75992",NULL,NULL,NULL,NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75992","0"
"77097","0","Stewart, D. Blake, Superintendent of Grounds","2809","75996","20130130_OralHistoriesDigitized/data/originals/75996",NULL,NULL,"1971",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75996","0"
"77098","0","Stewart, D. Blake, Superintendent of Grounds","2809","75998","20130130_OralHistoriesDigitized/data/originals/75998",NULL,NULL,"1971",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/75998","0"
"77099","0","Dow, William G., Son of the College's first graduates","2809","76008","20130130_OralHistoriesDigitized/data/originals/76008",NULL,NULL,"1974",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76008","0"
"77100","0","Dow, Margaret, Class of 1913; former Instr. in Piano and Theory; daughter of the College's firs [...]","2809","76011","20130130_OralHistoriesDigitized/data/originals/76011","Full Title: Dow, Margaret, Class of 1913; former Instr. in Piano and Theory; daughter of the College's first graduates",NULL,"1974",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76011","0"
"77101","1","Donaldson, Martha Elizabeth, Academy Class of 1897","2809","76015","20130130_OralHistoriesDigitized/data/originals/76015",NULL,NULL,"1975",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76015","0"
"77102","0","Glorvik, Olga Hanson, Veblen relative","2809","76028","20130130_OralHistoriesDigitized/data/originals/76028",NULL,NULL,"1979",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76028","0"
"77103","1","Dyer-Bennet, John, Prof. of Mathematics","2809","76036","20130130_OralHistoriesDigitized/data/originals/76036",NULL,NULL,"1983",NULL,NULL,NULL,"https://archivedb.carleton.edu/files/20130130_OralHistoriesDigitized/data/dips/76036","0"
