ID,Browsable,Title,CollectionID,CollectionContentID,Identifier,Scope,PhysicalDescription,Date,Publisher,Contributor,RightsStatement,ContentURL,HyperlinkURL
11,1,"Algol woodcut prints, created by Edmund T. Montgomery.",0,0,1929Algol,"Woodcut prints created from the 1929 Carleton yearbook, the Algol.  Commissioned by Carleton College and created by Edmund T. Montgomery, a Minnesota based artist during the first half of the 20th century.",NULL,1929,NULL,NULL,NULL,https://archivedb.carleton.edu/files/1929Algol,1
9,1,"Heating plant, exterior",79,0,00/007,Photographs of the Heating Plant from the middle of the 20 century.,NULL,Circa 1960,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20110615_3_HeatingPlant/data/dips/circa1960,1
77070,1,"Parents/Family Weekend, various years",0,0,20121029_ParentsWeekend/data/originals,"Parents Weekend, now known as Family Weekend, from the 1950's to the 1980's.",NULL,1955-1987,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20121029_ParentsWeekend/data/dips,1
77079,1,Cowling Gym,0,0,20110615_5_Yamasaki/data/originals/cowling,Designed by Minoru Yamasaki and Associates,,Circa 1965,,,,https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/cowling,1
77080,1,Proposed Dining Facility,0,0,20110615_5_Yamasaki/data/originals/diningfac,Designed by Minoru Yamasaki and Associates,,1960,,,,https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/diningfac,1
77081,1,Goodhue Hall,0,0,20110615_5_Yamasaki/data/originals/goodhue,Designed by Minoru Yamasaki and Associates,NULL,Circa 1960,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/goodhue,1
77082,0,Goodhue Hall proposal and drawings,0,0,20110615_5_Yamasaki/data/originals/mensdorm,Designed by Minoru Yamasaki and Associates,NULL,Circa 1960,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/mensdorm,1
77083,1,Olin Hall blueprints,0,0,20110615_5_Yamasaki/data/originals/olin,"Drawingds by Yamasaki, Leinweber and Associates and Kewaunee Manufacturing Co.",,1959,,,,https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/olin,1
77084,1,West Gym,0,0,20110615_5_Yamasaki/data/originals/westgym,Designed by Minoru Yamasaki,NULL,Circa 1964,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/westgym,1
77085,1,Proposed Womens Dormitory ,0,0,20110615_5_Yamasaki/data/originals/womensdorm,Designed by Minoru Yamasaki and Associates,,1960,,,,https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/womensdorm,1
43,1,Elizabeth Gray Algol staff photo,0,0,0037451,NULL,NULL,1939,NULL,NULL,NULL,https://archivedb.carleton.edu/files/0037451,1
44,1,Elizabeth Gray Algol staff photo,0,0,0037495,NULL,NULL,1941,NULL,NULL,NULL,https://archivedb.carleton.edu/files/0037495,1
76608,1,Rudolph Byrd: photos from work at Carleton,0,0,20120524_2_RudolphByrd,"A prolific scholar, dedicated teacher, and community activist, Dr. Rudolph Byrd began his academic career at Carleton College as assistant professor of English from 1985–1989. He also served as director of the Program of African and African American Studies from 1986–1989. In addition to his teaching duties, Dr. Byrd served as Resident Head for Nourse Hall.
	In 1991 Dr. Byrd joined the faculty of Emory University, where he was the founding director of the James Weldon Johnson Institute for the Study of Race and Difference. He also founded Emory's Mellon Mays Undergraduate Fellowship Program. He returned to Carleton as a convocation speaker in October 2010.",NULL,1986-1988,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120524_2_RudolphByrd,1
76609,1,"Schiller, various busts",0,0,20120524_1_Schiller,"Johann Christoph Friedrich von Schiller (1759–1805) was a German poet, philosopher, historian, and playwright. A popular tradition at Carleton involves students competing to capture a bust of Schiller from one another. After a successful capture, Schiller’s guardians are expected to organize a surprise public display (often at concerts, athletic games, and other event), giving other students a chance to steal the bust. The beginning of the tradition is often dated to 1957, when Bruce Herrick ’58 “liberated” the original bust from the Scoville solarium. Since then, Schiller has been dangled from a helicopter over the Homecoming football game, was signed by President Clinton, and appeared on Comedy Central’s [i]Colbert Report[/i], among other things. The bust has been broken, repaired, and replaced many times.",NULL,NULL,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120524_1_Schiller,0
76662,1,Japanese American Students,2798,0,20120613_JapaneseAmericanStudents,Documents about Carleton College's acceptance of Japanese American students to Carleton during World War II.  These students were held in Japanese internment camps and the War Relocation Authority but were allowed to enroll at Carleton College to complete their education.  ,NULL,1942-1944,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120613_JapaneseAmericanStudents/data/dips/POF3_box6.pdf,1
77078,1,Campus plan drawing,0,0,20110615_5_Yamasaki/data/originals/campus,Designed by Minoru Yamasaki and Associates,,1960,,,,https://archivedb.carleton.edu/files/20110615_5_Yamasaki/data/dips/campus,1
77064,1,Pep Banned,0,0,NULL,NULL,NULL,1981,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20121010_marchingbanned/data/dips/,1
77027,1,"Biographical file: Holmberg, Esther Christina",0,0,20120820_holmberg/data/originals/bio,NULL,NULL,ca. 1953-1956,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120820_holmberg/data/dips/bio,1
77026,1,Transcript excerpt - Esther Christina Holmberg,0,0,20120820_holmberg/data/originals/registry,Excerpts of student registry from the Carleton Academy.,NULL,ca. 1899,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120820_holmberg/data/dips/registry,1
77021,1,Noon News Bulletin / N.N.B.,231,0,20120429_NoonNewsBulletinSamples1996/data/originals/20120427_NoonNewsSamples_0106_001.pdf,NULL,NULL,1996-1997,NULL,NULL,NULL,http://archivedb.carleton.edu/files/20120429_NoonNewsBulletinSamples1996/data/dips/20120427_NoonNewsSamples_0106_001.pdf,1
77019,1,iT Magazine,219,0,20120420_201_0_CurrencyAndiT/data/originals/iTMagazine1992Winter.pdf,NULL,NULL,1992,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120420_201_0_CurrencyAndiT/data/dips/iTMagazine1992Winter.pdf,1
76604,1,"Currency Magazine, sample issues",201,0,20120420_201_0_CurrencyAndiT/data/originals/currency,NULL,NULL,1991,NULL,NULL,NULL,https://archivedb.carleton.edu/files/20120420_201_0_CurrencyAndiT/data/dips/currency,1
